"","sort.n3gramstats..decreasing...T.","last"
"10604",16,"that comes from"
"10605",16,"that is my"
"10606",16,"that look like"
"10607",16,"that of a"
"10608",16,"that part of"
"10609",16,"that we do"
"10610",16,"that would allow"
"10611",16,"thats a great"
"10612",16,"thats what we"
"10613",16,"thats why we"
"10614",16,"the area and"
"10615",16,"the basis of"
"10616",16,"the business of"
"10617",16,"the college of"
"10618",16,"the construction of"
"10619",16,"the costs of"
"10620",16,"the county has"
"10621",16,"the day it"
"10622",16,"the door for"
"10623",16,"the dow jones"
"10624",16,"the event will"
"10625",16,"the extent of"
"10626",16,"the fact is"
"10627",16,"the finishing touches"
"10628",16,"the flow of"
"10629",16,"the game that"
"10630",16,"the girl who"
"10631",16,"the ground in"
"10632",16,"the hardest thing"
"10633",16,"the health of"
"10634",16,"the heat of"
"10635",16,"the internet and"
"10636",16,"the internet is"
"10637",16,"the line of"
"10638",16,"the list is"
"10639",16,"the lord is"
"10640",16,"the lord of"
"10641",16,"the making of"
"10642",16,"the market for"
"10643",16,"the most exciting"
"10644",16,"the music and"
"10645",16,"the national association"
"10646",16,"the national average"
"10647",16,"the north dakota"
"10648",16,"the one in"
"10649",16,"the oven and"
"10650",16,"the people you"
"10651",16,"the potential to"
"10652",16,"the pursuit of"
"10653",16,"the reality is"
"10654",16,"the right one"
"10655",16,"the roof of"
"10656",16,"the same with"
"10657",16,"the short term"
"10658",16,"the show tonight"
"10659",16,"the show was"
"10660",16,"the status of"
"10661",16,"the sun was"
"10662",16,"the thing about"
"10663",16,"the two men"
"10664",16,"the united kingdom"
"10665",16,"the us government"
"10666",16,"the us is"
"10667",16,"the victims of"
"10668",16,"the war in"
"10669",16,"the way with"
"10670",16,"the week before"
"10671",16,"the window and"
"10672",16,"the word and"
"10673",16,"the world with"
"10674",16,"their ability to"
"10675",16,"their lives and"
"10676",16,"them for the"
"10677",16,"them it was"
"10678",16,"them to get"
"10679",16,"them with the"
"10680",16,"then back to"
"10681",16,"there but i"
"10682",16,"there for me"
"10683",16,"there on the"
"10684",16,"there was also"
"10685",16,"they are at"
"10686",16,"they can do"
"10687",16,"they did it"
"10688",16,"they go to"
"10689",16,"they try to"
"10690",16,"they were able"
"10691",16,"they were going"
"10692",16,"thing is to"
"10693",16,"things that have"
"10694",16,"think he is"
"10695",16,"think we have"
"10696",16,"think we should"
"10697",16,"thinking about how"
"10698",16,"this does not"
"10699",16,"this i am"
"10700",16,"this is it"
"10701",16,"this season the"
"10702",16,"this was my"
"10703",16,"this year as"
"10704",16,"thought i could"
"10705",16,"thought of the"
"10706",16,"thought to be"
"10707",16,"three of them"
"10708",16,"through the first"
"10709",16,"time he was"
"10710",16,"time i am"
"10711",16,"to a certain"
"10712",16,"to a local"
"10713",16,"to as a"
"10714",16,"to be considered"
"10715",16,"to be involved"
"10716",16,"to be quite"
"10717",16,"to be something"
"10718",16,"to beat the"
"10719",16,"to carry out"
"10720",16,"to change it"
"10721",16,"to clean the"
"10722",16,"to come over"
"10723",16,"to do any"
"10724",16,"to do as"
"10725",16,"to do everything"
"10726",16,"to eat a"
"10727",16,"to eat and"
"10728",16,"to fit in"
"10729",16,"to for a"
"10730",16,"to handle the"
"10731",16,"to hold on"
"10732",16,"to identify the"
"10733",16,"to know why"
"10734",16,"to know your"
"10735",16,"to learn from"
"10736",16,"to let them"
"10737",16,"to make and"
"10738",16,"to make something"
"10739",16,"to me for"
"10740",16,"to me when"
"10741",16,"to provide the"
"10742",16,"to put this"
"10743",16,"to qualify for"
"10744",16,"to reach a"
"10745",16,"to review the"
"10746",16,"to see where"
"10747",16,"to set the"
"10748",16,"to stick to"
"10749",16,"to stop and"
"10750",16,"to the media"
"10751",16,"to the park"
"10752",16,"to the second"
"10753",16,"to the university"
"10754",16,"to track down"
"10755",16,"to try out"
"10756",16,"to work i"
"10757",16,"today for the"
"10758",16,"together as a"
"10759",16,"told me he"
"10760",16,"told me she"
"10761",16,"too many people"
"10762",16,"too young to"
"10763",16,"toward the end"
"10764",16,"trying to tell"
"10765",16,"turned over to"
"10766",16,"two days of"
"10767",16,"two of us"
"10768",16,"two years later"
"10769",16,"under the influence"
"10770",16,"until after the"
"10771",16,"up all the"
"10772",16,"up and the"
"10773",16,"up at a"
"10774",16,"up from a"
"10775",16,"up to it"
"10776",16,"us for a"
"10777",16,"used to know"
"10778",16,"vast majority of"
"10779",16,"very difficult to"
"10780",16,"very hard to"
"10781",16,"very much like"
"10782",16,"wait to be"
"10783",16,"wake of the"
"10784",16,"walk to the"
"10785",16,"want to join"
"10786",16,"want to spend"
"10787",16,"wanted to have"
"10788",16,"wants to make"
"10789",16,"was a bad"
"10790",16,"was arrested in"
"10791",16,"was just the"
"10792",16,"was promoted to"
"10793",16,"was willing to"
"10794",16,"was with the"
"10795",16,"we believe that"
"10796",16,"we can only"
"10797",16,"we ended up"
"10798",16,"we go to"
"10799",16,"we have in"
"10800",16,"we may be"
"10801",16,"we may have"
"10802",16,"we really need"
"10803",16,"we shall see"
"10804",16,"we talk about"
"10805",16,"wed like to"
"10806",16,"week and i"
"10807",16,"well for the"
"10808",16,"well i know"
"10809",16,"went out of"
"10810",16,"were a few"
"10811",16,"were the only"
"10812",16,"what are they"
"10813",16,"what do we"
"10814",16,"what does that"
"10815",16,"what they say"
"10816",16,"what this is"
"10817",16,"what would happen"
"10818",16,"what you see"
"10819",16,"whatever it is"
"10820",16,"when he came"
"10821",16,"when he says"
"10822",16,"when i asked"
"10823",16,"when i found"
"10824",16,"when i woke"
"10825",16,"when my mom"
"10826",16,"when that happens"
"10827",16,"when there is"
"10828",16,"when you find"
"10829",16,"when you realize"
"10830",16,"where do i"
"10831",16,"where i live"
"10832",16,"where they can"
"10833",16,"where to start"
"10834",16,"which has a"
"10835",16,"which is to"
"10836",16,"which makes it"
"10837",16,"who is this"
"10838",16,"who was in"
"10839",16,"who won the"
"10840",16,"why i am"
"10841",16,"will be coming"
"10842",16,"will be like"
"10843",16,"will be made"
"10844",16,"will be missed"
"10845",16,"will be released"
"10846",16,"will do the"
"10847",16,"will find a"
"10848",16,"will get the"
"10849",16,"will hold a"
"10850",16,"will it be"
"10851",16,"will lead to"
"10852",16,"will miss you"
"10853",16,"will no longer"
"10854",16,"will receive a"
"10855",16,"wish it was"
"10856",16,"with a group"
"10857",16,"with a light"
"10858",16,"with her husband"
"10859",16,"with his family"
"10860",16,"with me to"
"10861",16,"with my friend"
"10862",16,"with my friends"
"10863",16,"with one another"
"10864",16,"with someone who"
"10865",16,"with such a"
"10866",16,"with this one"
"10867",16,"woke up and"
"10868",16,"women in the"
"10869",16,"work as a"
"10870",16,"world to me"
"10871",16,"would be willing"
"10872",16,"yeah me too"
"10873",16,"year after year"
"10874",16,"years from now"
"10875",16,"yet but i"
"10876",16,"you all have"
"10877",16,"you are just"
"10878",16,"you are one"
"10879",16,"you are very"
"10880",16,"you begin to"
"10881",16,"you can never"
"10882",16,"you cant do"
"10883",16,"you did not"
"10884",16,"you do to"
"10885",16,"you for being"
"10886",16,"you guys have"
"10887",16,"you have done"
"10888",16,"you in my"
"10889",16,"you know im"
"10890",16,"you last night"
"10891",16,"you only have"
"10892",16,"you say that"
"10893",16,"you to come"
"10894",16,"you when i"
"10895",16,"you you are"
"10896",16,"your family and"
"10897",15,"a bit about"
"10898",15,"a can of"
"10899",15,"a comment on"
"10900",15,"a day i"
"10901",15,"a degree in"
"10902",15,"a difference in"
"10903",15,"a era in"
"10904",15,"a family of"
"10905",15,"a federal judge"
"10906",15,"a few feet"
"10907",15,"a few short"
"10908",15,"a few words"
"10909",15,"a good example"
"10910",15,"a good laugh"
"10911",15,"a good team"
"10912",15,"a hole in"
"10913",15,"a job and"
"10914",15,"a lead in"
"10915",15,"a letter from"
"10916",15,"a little and"
"10917",15,"a little longer"
"10918",15,"a little something"
"10919",15,"a month and"
"10920",15,"a name for"
"10921",15,"a new day"
"10922",15,"a new generation"
"10923",15,"a nice day"
"10924",15,"a position to"
"10925",15,"a professor at"
"10926",15,"a quarter of"
"10927",15,"a recent study"
"10928",15,"a red light"
"10929",15,"a review of"
"10930",15,"a second time"
"10931",15,"a side of"
"10932",15,"a slew of"
"10933",15,"a spot on"
"10934",15,"a thing of"
"10935",15,"a twitter account"
"10936",15,"a very nice"
"10937",15,"a week in"
"10938",15,"a week to"
"10939",15,"a wonderful time"
"10940",15,"a world where"
"10941",15,"able to help"
"10942",15,"able to say"
"10943",15,"about two years"
"10944",15,"access to a"
"10945",15,"across from the"
"10946",15,"act like a"
"10947",15,"adding to the"
"10948",15,"after months of"
"10949",15,"ago i was"
"10950",15,"ago when i"
"10951",15,"all day today"
"10952",15,"all that i"
"10953",15,"all who came"
"10954",15,"allow us to"
"10955",15,"already in the"
"10956",15,"always going to"
"10957",15,"always makes me"
"10958",15,"am not going"
"10959",15,"an hour of"
"10960",15,"an hour to"
"10961",15,"analysis of the"
"10962",15,"and a friend"
"10963",15,"and all but"
"10964",15,"and back to"
"10965",15,"and cant wait"
"10966",15,"and come to"
"10967",15,"and continues to"
"10968",15,"and dont forget"
"10969",15,"and find out"
"10970",15,"and give me"
"10971",15,"and had the"
"10972",15,"and he would"
"10973",15,"and headed to"
"10974",15,"and her family"
"10975",15,"and how he"
"10976",15,"and how many"
"10977",15,"and in my"
"10978",15,"and it made"
"10979",15,"and its all"
"10980",15,"and just as"
"10981",15,"and let us"
"10982",15,"and look forward"
"10983",15,"and need to"
"10984",15,"and put them"
"10985",15,"and set up"
"10986",15,"and so much"
"10987",15,"and the day"
"10988",15,"and there will"
"10989",15,"and they had"
"10990",15,"and this year"
"10991",15,"and told him"
"10992",15,"and use the"
"10993",15,"and will have"
"10994",15,"and yet i"
"10995",15,"any type of"
"10996",15,"anyone have any"
"10997",15,"anything in the"
"10998",15,"appreciation for the"
"10999",15,"are a little"
"11000",15,"are allowed to"
"11001",15,"are doing a"
"11002",15,"are forced to"
"11003",15,"are free to"
"11004",15,"are hard to"
"11005",15,"are looking at"
"11006",15,"are not in"
"11007",15,"are welcome to"
"11008",15,"are you at"
"11009",15,"are you excited"
"11010",15,"are you getting"
"11011",15,"are you serious"
"11012",15,"around for a"
"11013",15,"as a family"
"11014",15,"as i got"
"11015",15,"as i thought"
"11016",15,"as i would"
"11017",15,"as important as"
"11018",15,"as someone who"
"11019",15,"as the best"
"11020",15,"as to the"
"11021",15,"as we know"
"11022",15,"ask you to"
"11023",15,"ass ass ass"
"11024",15,"at a local"
"11025",15,"at city hall"
"11026",15,"at each other"
"11027",15,"at least to"
"11028",15,"at least we"
"11029",15,"at some of"
"11030",15,"at the base"
"11031",15,"at the expense"
"11032",15,"at the meeting"
"11033",15,"at the point"
"11034",15,"attached to the"
"11035",15,"available in the"
"11036",15,"away at the"
"11037",15,"back when i"
"11038",15,"back with a"
"11039",15,"be prepared for"
"11040",15,"be thankful for"
"11041",15,"because you have"
"11042",15,"been a big"
"11043",15,"been involved in"
"11044",15,"been meaning to"
"11045",15,"been on a"
"11046",15,"been out of"
"11047",15,"before and after"
"11048",15,"beginning of a"
"11049",15,"behalf of the"
"11050",15,"being held in"
"11051",15,"best part is"
"11052",15,"better in the"
"11053",15,"better than this"
"11054",15,"better to be"
"11055",15,"big thank you"
"11056",15,"board of trustees"
"11057",15,"both of which"
"11058",15,"bout to go"
"11059",15,"bring out the"
"11060",15,"bring to the"
"11061",15,"brothers and sisters"
"11062",15,"brought to the"
"11063",15,"but for some"
"11064",15,"but i get"
"11065",15,"but i knew"
"11066",15,"but i need"
"11067",15,"but if we"
"11068",15,"but im going"
"11069",15,"but instead of"
"11070",15,"but it didnt"
"11071",15,"but its the"
"11072",15,"but other than"
"11073",15,"but the most"
"11074",15,"but they dont"
"11075",15,"but you are"
"11076",15,"by this time"
"11077",15,"by those who"
"11078",15,"by way of"
"11079",15,"came from a"
"11080",15,"came out with"
"11081",15,"came up to"
"11082",15,"can be an"
"11083",15,"can hear the"
"11084",15,"can i just"
"11085",15,"can only hope"
"11086",15,"cant afford to"
"11087",15,"cant believe it"
"11088",15,"cant believe its"
"11089",15,"cant help it"
"11090",15,"cant think of"
"11091",15,"changed my life"
"11092",15,"chief operating officer"
"11093",15,"clear that the"
"11094",15,"come to my"
"11095",15,"comes from a"
"11096",15,"connected to the"
"11097",15,"could have made"
"11098",15,"could it be"
"11099",15,"could see the"
"11100",15,"couldnt help but"
"11101",15,"create a new"
"11102",15,"day and the"
"11103",15,"day is a"
"11104",15,"day of work"
"11105",15,"day or two"
"11106",15,"democrats and republicans"
"11107",15,"did i miss"
"11108",15,"did not go"
"11109",15,"did the same"
"11110",15,"did you hear"
"11111",15,"didn’t have to"
"11112",15,"different types of"
"11113",15,"do a better"
"11114",15,"do i know"
"11115",15,"do not let"
"11116",15,"do not think"
"11117",15,"do u have"
"11118",15,"do u think"
"11119",15,"do what they"
"11120",15,"do with a"
"11121",15,"do with my"
"11122",15,"does anyone have"
"11123",15,"doesnt mean you"
"11124",15,"doing something right"
"11125",15,"doing what i"
"11126",15,"dont feel like"
"11127",15,"dont forget the"
"11128",15,"dont have time"
"11129",15,"dont know the"
"11130",15,"dont know who"
"11131",15,"dont make me"
"11132",15,"dont need a"
"11133",15,"dow jones industrial"
"11134",15,"down the line"
"11135",15,"drawn to the"
"11136",15,"during the regular"
"11137",15,"during the summer"
"11138",15,"each of us"
"11139",15,"each other as"
"11140",15,"each other i"
"11141",15,"early this morning"
"11142",15,"email me at"
"11143",15,"ended up being"
"11144",15,"ended up in"
"11145",15,"even as the"
"11146",15,"even the most"
"11147",15,"even think about"
"11148",15,"events in the"
"11149",15,"ever going to"
"11150",15,"excited to get"
"11151",15,"experience in the"
"11152",15,"eye out for"
"11153",15,"favor of the"
"11154",15,"feel like ive"
"11155",15,"fiber mg sodium"
"11156",15,"find out more"
"11157",15,"first part of"
"11158",15,"first time and"
"11159",15,"five years of"
"11160",15,"for a big"
"11161",15,"for a special"
"11162",15,"for a time"
"11163",15,"for a total"
"11164",15,"for a woman"
"11165",15,"for all those"
"11166",15,"for as long"
"11167",15,"for each of"
"11168",15,"for example i"
"11169",15,"for her and"
"11170",15,"for it but"
"11171",15,"for me its"
"11172",15,"for more details"
"11173",15,"for nearly years"
"11174",15,"for the latest"
"11175",15,"for the remainder"
"11176",15,"for the win"
"11177",15,"for three days"
"11178",15,"for with a"
"11179",15,"for you guys"
"11180",15,"for your own"
"11181",15,"forward to reading"
"11182",15,"found a way"
"11183",15,"found out about"
"11184",15,"founder of the"
"11185",15,"fraction of the"
"11186",15,"freedom of speech"
"11187",15,"friend and i"
"11188",15,"from a year"
"11189",15,"from each other"
"11190",15,"from the home"
"11191",15,"from the new"
"11192",15,"from the previous"
"11193",15,"get a life"
"11194",15,"get all the"
"11195",15,"get it i"
"11196",15,"get me a"
"11197",15,"get to go"
"11198",15,"get up to"
"11199",15,"go check out"
"11200",15,"go into effect"
"11201",15,"goes back to"
"11202",15,"going on the"
"11203",15,"going to let"
"11204",15,"good day to"
"11205",15,"good enough for"
"11206",15,"good luck and"
"11207",15,"goods and services"
"11208",15,"great day to"
"11209",15,"group of friends"
"11210",15,"guess i should"
"11211",15,"guess what i"
"11212",15,"had a bit"
"11213",15,"had a little"
"11214",15,"had a really"
"11215",15,"had already been"
"11216",15,"had never been"
"11217",15,"had such a"
"11218",15,"half of my"
"11219",15,"happened to you"
"11220",15,"happens to me"
"11221",15,"hard to make"
"11222",15,"has become the"
"11223",15,"has been with"
"11224",15,"has long been"
"11225",15,"has made it"
"11226",15,"has made me"
"11227",15,"has said he"
"11228",15,"has to get"
"11229",15,"have a happy"
"11230",15,"have a strong"
"11231",15,"have a twitter"
"11232",15,"have at least"
"11233",15,"have managed to"
"11234",15,"have never had"
"11235",15,"have not yet"
"11236",15,"have to agree"
"11237",15,"have to show"
"11238",15,"have to sit"
"11239",15,"have to talk"
"11240",15,"havent been able"
"11241",15,"he grew up"
"11242",15,"he is now"
"11243",15,"he is very"
"11244",15,"he said is"
"11245",15,"he said so"
"11246",15,"he says the"
"11247",15,"he took a"
"11248",15,"he used to"
"11249",15,"he was also"
"11250",15,"he was and"
"11251",15,"he was talking"
"11252",15,"heard of it"
"11253",15,"her as a"
"11254",15,"her mother and"
"11255",15,"here for you"
"11256",15,"here to help"
"11257",15,"hes got a"
"11258",15,"hes one of"
"11259",15,"hes trying to"
"11260",15,"high in the"
"11261",15,"him it was"
"11262",15,"him that he"
"11263",15,"his head and"
"11264",15,"his life and"
"11265",15,"hit in the"
"11266",15,"hope your day"
"11267",15,"hour or so"
"11268",15,"how it works"
"11269",15,"how much he"
"11270",15,"i added some"
"11271",15,"i also used"
"11272",15,"i also want"
"11273",15,"i always have"
"11274",15,"i am feeling"
"11275",15,"i believe the"
"11276",15,"i can and"
"11277",15,"i cant really"
"11278",15,"i cant remember"
"11279",15,"i did have"
"11280",15,"i did so"
"11281",15,"i do and"
"11282",15,"i do but"
"11283",15,"i feel i"
"11284",15,"i figured i"
"11285",15,"i find the"
"11286",15,"i follow back"
"11287",15,"i found my"
"11288",15,"i gave up"
"11289",15,"i got out"
"11290",15,"i have come"
"11291",15,"i have just"
"11292",15,"i hope my"
"11293",15,"i hope so"
"11294",15,"i hope your"
"11295",15,"i hope youre"
"11296",15,"i know thats"
"11297",15,"i know there"
"11298",15,"i left the"
"11299",15,"i mean the"
"11300",15,"i meant to"
"11301",15,"i miss u"
"11302",15,"i moved to"
"11303",15,"i noticed that"
"11304",15,"i pretty much"
"11305",15,"i realize that"
"11306",15,"i saw your"
"11307",15,"i still remember"
"11308",15,"i suspect that"
"11309",15,"i take a"
"11310",15,"i talked about"
"11311",15,"i think your"
"11312",15,"i use a"
"11313",15,"i was gonna"
"11314",15,"i was taking"
"11315",15,"i was years"
"11316",15,"i went with"
"11317",15,"i will keep"
"11318",15,"i wish my"
"11319",15,"i wish we"
"11320",15,"i would want"
"11321",15,"idea is to"
"11322",15,"if i would"
"11323",15,"if you haven’t"
"11324",15,"if you just"
"11325",15,"ill check it"
"11326",15,"im at a"
"11327",15,"im having a"
"11328",15,"im listening to"
"11329",15,"im out of"
"11330",15,"im sorry but"
"11331",15,"in a city"
"11332",15,"in a class"
"11333",15,"in a day"
"11334",15,"in a great"
"11335",15,"in a medium"
"11336",15,"in and it"
"11337",15,"in between the"
"11338",15,"in doing so"
"11339",15,"in europe and"
"11340",15,"in franchise history"
"11341",15,"in hopes of"
"11342",15,"in large part"
"11343",15,"in my book"
"11344",15,"in no time"
"11345",15,"in on a"
"11346",15,"in one day"
"11347",15,"in the aftermath"
"11348",15,"in the course"
"11349",15,"in the entire"
"11350",15,"in the garage"
"11351",15,"in the hallway"
"11352",15,"in the industry"
"11353",15,"in the lord"
"11354",15,"in the market"
"11355",15,"in the ninth"
"11356",15,"in the original"
"11357",15,"in the paint"
"11358",15,"in the road"
"11359",15,"in the spirit"
"11360",15,"in there and"
"11361",15,"in this game"
"11362",15,"in this town"
"11363",15,"in those days"
"11364",15,"in your own"
"11365",15,"insight into the"
"11366",15,"interview with the"
"11367",15,"into the top"
"11368",15,"iraq and afghanistan"
"11369",15,"is a list"
"11370",15,"is a sign"
"11371",15,"is about a"
"11372",15,"is an amazing"
"11373",15,"is for a"
"11374",15,"is how i"
"11375",15,"is in fact"
"11376",15,"is intended to"
"11377",15,"is it about"
"11378",15,"is known for"
"11379",15,"is looking to"
"11380",15,"is necessary to"
"11381",15,"is of the"
"11382",15,"is on my"
"11383",15,"is one thing"
"11384",15,"is perfect for"
"11385",15,"is simply a"
"11386",15,"is that in"
"11387",15,"is the fact"
"11388",15,"is very important"
"11389",15,"is what makes"
"11390",15,"is why we"
"11391",15,"it a few"
"11392",15,"it a great"
"11393",15,"it appears to"
"11394",15,"it comes down"
"11395",15,"it easier to"
"11396",15,"it gives me"
"11397",15,"it i cant"
"11398",15,"it i just"
"11399",15,"it is on"
"11400",15,"it kind of"
"11401",15,"it off the"
"11402",15,"it off with"
"11403",15,"it out the"
"11404",15,"it out there"
"11405",15,"it up i"
"11406",15,"it was easy"
"11407",15,"it when it"
"11408",15,"it will happen"
"11409",15,"it would also"
"11410",15,"its ability to"
"11411",15,"its way to"
"11412",15,"ive been doing"
"11413",15,"join us at"
"11414",15,"jones industrial average"
"11415",15,"just got out"
"11416",15,"just like i"
"11417",15,"just need a"
"11418",15,"just signed up"
"11419",15,"just thinking about"
"11420",15,"just what i"
"11421",15,"just when i"
"11422",15,"kids in the"
"11423",15,"know its a"
"11424",15,"know more about"
"11425",15,"know you can"
"11426",15,"last few months"
"11427",15,"last few weeks"
"11428",15,"last night that"
"11429",15,"last night we"
"11430",15,"last year but"
"11431",15,"last year was"
"11432",15,"least one of"
"11433",15,"let me be"
"11434",15,"level of the"
"11435",15,"lies in the"
"11436",15,"life to the"
"11437",15,"like a little"
"11438",15,"like being a"
"11439",15,"like i had"
"11440",15,"like it and"
"11441",15,"like it when"
"11442",15,"like that in"
"11443",15,"like that the"
"11444",15,"like the idea"
"11445",15,"like the rest"
"11446",15,"like this i"
"11447",15,"like to get"
"11448",15,"like us on"
"11449",15,"linked to the"
"11450",15,"listen to a"
"11451",15,"listening to it"
"11452",15,"lol i love"
"11453",15,"long after the"
"11454",15,"look at her"
"11455",15,"look into it"
"11456",15,"look like an"
"11457",15,"looking at my"
"11458",15,"looking for new"
"11459",15,"lot more than"
"11460",15,"lot of different"
"11461",15,"made it a"
"11462",15,"made me smile"
"11463",15,"made out of"
"11464",15,"make me happy"
"11465",15,"make me want"
"11466",15,"make room for"
"11467",15,"make sense to"
"11468",15,"make sure we"
"11469",15,"make your own"
"11470",15,"many of our"
"11471",15,"me a lot"
"11472",15,"me and it"
"11473",15,"me from the"
"11474",15,"me i know"
"11475",15,"me im not"
"11476",15,"me know i"
"11477",15,"me to keep"
"11478",15,"might be in"
"11479",15,"millions of people"
"11480",15,"more difficult to"
"11481",15,"more than double"
"11482",15,"more than miles"
"11483",15,"much going on"
"11484",15,"much to ask"
"11485",15,"my dad and"
"11486",15,"my dad was"
"11487",15,"my family i"
"11488",15,"my friend is"
"11489",15,"my good friend"
"11490",15,"my list of"
"11491",15,"my love for"
"11492",15,"my mom just"
"11493",15,"my todo list"
"11494",15,"never have to"
"11495",15,"never seem to"
"11496",15,"never thought id"
"11497",15,"never would have"
"11498",15,"new england patriots"
"11499",15,"new to twitter"
"11500",15,"news is that"
"11501",15,"night i was"
"11502",15,"no doubt that"
"11503",15,"no longer be"
"11504",15,"no one had"
"11505",15,"no problem i"
"11506",15,"no sign of"
"11507",15,"no time for"
"11508",15,"north of the"
"11509",15,"not always the"
"11510",15,"not as a"
"11511",15,"not aware of"
"11512",15,"not because i"
"11513",15,"not even close"
"11514",15,"not in my"
"11515",15,"not just because"
"11516",15,"not the case"
"11517",15,"not to have"
"11518",15,"not what i"
"11519",15,"not willing to"
"11520",15,"now have a"
"11521",15,"now it was"
"11522",15,"now with the"
"11523",15,"number of times"
"11524",15,"of a day"
"11525",15,"of a single"
"11526",15,"of course but"
"11527",15,"of course its"
"11528",15,"of god in"
"11529",15,"of it to"
"11530",15,"of my day"
"11531",15,"of people and"
"11532",15,"of so many"
"11533",15,"of that the"
"11534",15,"of the better"
"11535",15,"of the box"
"11536",15,"of the british"
"11537",15,"of the card"
"11538",15,"of the case"
"11539",15,"of the center"
"11540",15,"of the job"
"11541",15,"of the north"
"11542",15,"of the novel"
"11543",15,"of the only"
"11544",15,"of the pan"
"11545",15,"of the park"
"11546",15,"of the political"
"11547",15,"of the senate"
"11548",15,"of the south"
"11549",15,"of the street"
"11550",15,"of the sun"
"11551",15,"of the teams"
"11552",15,"of the worst"
"11553",15,"of them is"
"11554",15,"of what she"
"11555",15,"of work and"
"11556",15,"off to work"
"11557",15,"oh how i"
"11558",15,"omg i love"
"11559",15,"on a date"
"11560",15,"on facebook and"
"11561",15,"on her blog"
"11562",15,"on how many"
"11563",15,"on march th"
"11564",15,"on new years"
"11565",15,"on our facebook"
"11566",15,"on the bed"
"11567",15,"on the fact"
"11568",15,"on the flip"
"11569",15,"on the main"
"11570",15,"on the patio"
"11571",15,"on thursday and"
"11572",15,"on your side"
"11573",15,"once i got"
"11574",15,"once or twice"
"11575",15,"one another and"
"11576",15,"one at a"
"11577",15,"one from the"
"11578",15,"one person who"
"11579",15,"one thing is"
"11580",15,"only a handful"
"11581",15,"or was it"
"11582",15,"order to be"
"11583",15,"other day i"
"11584",15,"out a way"
"11585",15,"out i have"
"11586",15,"out of time"
"11587",15,"out of you"
"11588",15,"out to a"
"11589",15,"out to all"
"11590",15,"out when i"
"11591",15,"over a week"
"11592",15,"owe it to"
"11593",15,"pain in the"
"11594",15,"parking lot and"
"11595",15,"party in the"
"11596",15,"passes for yards"
"11597",15,"past three years"
"11598",15,"people are so"
"11599",15,"people who want"
"11600",15,"play of the"
"11601",15,"played in the"
"11602",15,"player on the"
"11603",15,"please feel free"
"11604",15,"plenty of room"
"11605",15,"pointing out that"
"11606",15,"posted on the"
"11607",15,"pretending to be"
"11608",15,"pretty much the"
"11609",15,"provided by the"
"11610",15,"put me in"
"11611",15,"put on my"
"11612",15,"putting on a"
"11613",15,"rather than just"
"11614",15,"ready for this"
"11615",15,"ready to start"
"11616",15,"ready to take"
"11617",15,"really going to"
"11618",15,"really have a"
"11619",15,"refer to the"
"11620",15,"residents of the"
"11621",15,"respond to the"
"11622",15,"rest of this"
"11623",15,"return of the"
"11624",15,"right back to"
"11625",15,"right now lol"
"11626",15,"right now you"
"11627",15,"right of the"
"11628",15,"room in the"
"11629",15,"rt i am"
"11630",15,"run by the"
"11631",15,"s and early"
"11632",15,"said and i"
"11633",15,"said as he"
"11634",15,"said i feel"
"11635",15,"said she is"
"11636",15,"said thanks for"
"11637",15,"said theres no"
"11638",15,"said they are"
"11639",15,"said we have"
"11640",15,"same time the"
"11641",15,"save the date"
"11642",15,"say i was"
"11643",15,"say they have"
"11644",15,"says it is"
"11645",15,"search for a"
"11646",15,"searching for a"
"11647",15,"season with salt"
"11648",15,"see if we"
"11649",15,"seems like the"
"11650",15,"several times in"
"11651",15,"she said and"
"11652",15,"short of the"
"11653",15,"should be an"
"11654",15,"should be fun"
"11655",15,"should never be"
"11656",15,"since i had"
"11657",15,"since ive been"
"11658",15,"sit back and"
"11659",15,"so far in"
"11660",15,"so i got"
"11661",15,"so long as"
"11662",15,"so many ways"
"11663",15,"so much but"
"11664",15,"so thankful for"
"11665",15,"so what is"
"11666",15,"someone told me"
"11667",15,"something else to"
"11668",15,"something you can"
"11669",15,"sorry i missed"
"11670",15,"source of the"
"11671",15,"spirit of the"
"11672",15,"stand in the"
"11673",15,"start of a"
"11674",15,"state in the"
"11675",15,"states of america"
"11676",15,"still going to"
"11677",15,"stir in the"
"11678",15,"such a big"
"11679",15,"sure it is"
"11680",15,"sure you are"
"11681",15,"take over the"
"11682",15,"take some time"
"11683",15,"take time to"
"11684",15,"talked to the"
"11685",15,"tells me that"
"11686",15,"than i was"
"11687",15,"than the other"
"11688",15,"than years ago"
"11689",15,"thanks for letting"
"11690",15,"thanks for mentioning"
"11691",15,"thanks to our"
"11692",15,"that and i"
"11693",15,"that cant be"
"11694",15,"that god has"
"11695",15,"that i didn’t"
"11696",15,"that i havent"
"11697",15,"that i made"
"11698",15,"that i wasnt"
"11699",15,"that i’ve been"
"11700",15,"that if they"
"11701",15,"that is an"
"11702",15,"that is being"
"11703",15,"that last tweet"
"11704",15,"that many people"
"11705",15,"that must be"
"11706",15,"that time i"
"11707",15,"that time of"
"11708",15,"that to the"
"11709",15,"that was one"
"11710",15,"that was so"
"11711",15,"that we dont"
"11712",15,"that will allow"
"11713",15,"that you may"
"11714",15,"thats exactly what"
"11715",15,"thats when i"
"11716",15,"the back seat"
"11717",15,"the beastie boys"
